Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"General Services, Office of",05AA0707,Maintenance and Improvement of Real Property Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/07,New Facilities,10000000,0,0
"General Services, Office of",05AA0807,Maintenance and Improvement of Real Property Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/08,New Facilities,10000000,0,0
"General Services, Office of",05AA0907,Maintenance and Improvement of Real Property Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/09,New Facilities,10000000,0,0
"General Services, Office of",05BL0603,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Advances,0050/01/06,BSOB parking lot rehab,230000,157622,0
"General Services, Office of",05BP0603,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/06,BSOB Parking lot rehab,1160000,0,0
"General Services, Office of",05CC1303,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/13,Preservation of Facilities,5000000,0,0
"General Services, Office of",05CR0703,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/07,State Capitol Bldg rehab & repair,2511000,4000,0
"General Services, Office of",05CR0803,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/08,State Capitol bldg rehab & repairs,5000000,0,0
"General Services, Office of",05CR0903,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/09,State Capitol Bldg rehab & repairs,15000000,0,0
"General Services, Office of",05CR1003,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/10,State Capitol Bldg Rehab & Repairs,3650000,0,0
"General Services, Office of",05CR1103,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,State Capitol Bldg Rehab & Repairs,650000,0,0
"General Services, Office of",05CR1203,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,State Capitol Bldg Rehab & Repairs,250000,0,0
"General Services, Office of",05CR1303,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/13,Capitol Improvements,10000000,0,0
"General Services, Office of",05CR1403,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/14,Capital Improvements,200000,0,0
"General Services, Office of",05CR1503,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,State Capitol Building ,0,0,200000
"General Services, Office of",05HC1503,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0000/00/15,Harriman Strategic Action Plan,0,0,152000000
"General Services, Office of",05LA0703,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/07,LOB Hearing Room A Rehab,253000,0,0
"General Services, Office of",05LA0803,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0050/01/08,LOB Hearing Room A Rehab,853000,0,0
"General Services, Office of",05LC0803,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0050/01/08,LOB Hearing Room C Rehab,137000,0,0
"General Services, Office of",05LL0603,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/06,LOB Meeting Room Rehab,277000,0,0
"General Services, Office of",05NR0903,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0050/01/09,ESP Reconstruction & Repair,1435000,178948,0
"General Services, Office of",05NR1203,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/12,ESP Reconstruction & Repair,19226000,8749451,0
"General Services, Office of",05NR1303,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/13,ESP Reconstruction & Repair,17498000,5482176,0
"General Services, Office of",05NR1403,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/14,ESP Reconstruction & Repair,20000000,2368728,0
"General Services, Office of",05NR1503,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0000/00/15,ESP Reconstruction & Repair,0,0,10000000
"Health, Department of",12021057,Water Resources,Health and Safety,Federal Capital Projects,Federal Capital Projects Fund,0054/01/10,Safe Drinking Water Program,78834000,0,0
"Health, Department of",12021257,Water Resources,Health and Safety,Federal Capital Projects,Federal Capital Projects Fund,0054/01/12,Safe Drinking Water Program,4033000,1481502,0
"Health, Department of",12021357,Water Resources,Health and Safety,Federal Capital Projects,Federal Capital Projects Fund,0054/01/13,Safe Drinking Water Program,20619000,5431252,0
"Health, Department of",12021457,Water Resources,Health and Safety,Federal Capital Projects,Federal Capital Projects Fund,0054/01/14,Safe Drinking Water Program,70000000,4245500,0
"Health, Department of",12021557,Water Resources,Health and Safety,Federal Capital Projects,Federal Capital Projects Fund,0000/00/15,Safe Drinking Water Program,0,0,70000000
"Health, Department of",12590303,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/03,Laboratories And Research,1701000,1684326,0
"Health, Department of",12590403,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/01,Laboratories And Research,380000,2064571,0
"Health, Department of",12590503,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/05,Maint.&Improve. Of Labs,794000,2242125,0
"Health, Department of",12590603,Laboratories and Research,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/06,Preservation of Facilities Labs,3996000,3637049,0
"Health, Department of",125906BB,Laboratories and Research,New Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/06,Umbilical Blood Bank Ctr. in Syracuse,5000000,0,0
"Health, Department of",12590703,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/07,Preservation of facilities,2071000,1930929,0
"Health, Department of",12590803,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/08,Preservation of Facilities,503000,476548,0
"Health, Department of",12590903,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/09,Preservation of facilities,3761000,3617183,0
"Health, Department of",12591003,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/10,Preservation of Facilities,3663000,2306908,0
"Health, Department of",12591103,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Capital Funding for Labs,4822000,437373,0
"Health, Department of",12591203,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Preservation of Laboratories,5129000,308839,0
"Health, Department of",12591303,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Preservation of Laboratories,6015000,112018,0
"Health, Department of",12591403,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Preservation of Laboratories,7380000,322229,0
"Health, Department of",12591503,Laboratories and Research,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Preservation of Facilities,0,0,8000000
"Health, Department of",12600903,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/09,Institutional Management,3692000,683522,0
"Health, Department of",12601003,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/10,Institutional Management,5476000,1521970,0
"Health, Department of",12601103,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Institutional Management,2994000,355291,0
"Health, Department of",12601203,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Institutional Management,4182000,2488740,0
"Health, Department of",12601303,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Institutional Management,7425000,0,0
"Health, Department of",12601403,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Institutional Management,7600000,0,0
"Health, Department of",12601503,Maintenance and Improvements of Existing Institutions,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Institutional Management,0,0,7600000
"Health, Department of",12AP1508,All Payers Claims Database,Program Improvement/Change,Capital Projects Fund,Capital Projects Fund,0000/00/15,All Payers Claims Database,0,0,10000000
"Health, Department of",12BK15HE,Health Care Facility Transformation Program,Health Care System Improvement,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0000/00/15,Health Care Facility Transformation,0,0,700000000
"Health, Department of",12CR14HE,Capital Restructuring Program for Health Care and Related Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0054/01/14,Capital Restructuring Program,1200000000,0,0
